@relation sviPodaci

@attribute potrosnja numeric
@attribute ucestalost numeric
@attribute redovnostPlacanja numeric
@attribute reklamacije numeric
@attribute kominikacija numeric
@attribute preporuke numeric
@attribute vremenskiKupac numeric
@attribute lojalnost {nelojalan,bronzana,srebrna,zlatna,dijamantska}

@data
26790.24,11,0.2,0.46,1,7,0,bronzana
9291730.31,80,0.62,0.33,1,6,2,dijamantska
18567.6,2,0.49,0.29,0,7,0,bronzana
22451.76,2,0.57,0.45,0,4,5,nelojalan
688400.46,2,0.41,0.39,0,6,2,nelojalan
2.007812406E7,74,0.33,0.58,0,2,2,zlatna
118198.66,31,0.42,0.75,1,2,5,bronzana
36426.62,8,0.13,0.99,1,3,4,nelojalan
166228.02,26,0.36,0.74,1,1,6,bronzana
401052.46,32,0.43,0.69,0,5,1,bronzana
1427310.6,152,0.08,0.24,0,6,5,bronzana
3.718390333E7,19,0.1,0.15,0,7,5,zlatna
78322.5,11,0.28,0.01,1,3,1,nelojalan
230972.47,20,0.08,0.61,0,4,1,bronzana
27838.08,3,0.56,0.02,1,0,3,nelojalan
1984498.78,67,0.55,0.25,1,6,4,zlatna
27725.76,1,0.06,0.19,1,6,4,nelojalan
50171.04,3,0.67,0.19,1,6,1,nelojalan
23310.64,4,0.19,0.4,0,2,3,nelojalan
302917.18,6,0.91,0.42,1,4,1,nelojalan
128927.08,24,0.97,0.92,0,3,7,bronzana
120830.76,16,0.14,0.34,1,4,0,bronzana
100000.0,2,0.8,0.93,0,6,4,nelojalan
122852.0,14,0.58,0.63,0,1,3,nelojalan
394141.32,3,0.48,0.37,1,2,6,nelojalan
4.658750329E7,154,0.69,0.95,0,2,5,zlatna
52068.6,9,0.99,0.63,0,2,6,nelojalan
57110.16,14,0.86,0.33,1,7,2,bronzana
15225.72,2,0.36,0.72,1,3,7,nelojalan
22873.98,12,0.22,0.65,1,2,0,nelojalan
2636901.7,54,0.99,0.06,0,2,1,zlatna
46493.96,11,0.32,0.35,1,5,4,nelojalan
85110.52,15,0.62,0.57,1,2,4,nelojalan
79699.25,9,0.12,0.82,1,4,1,nelojalan
113848.04,11,0.75,0.39,0,1,3,nelojalan
18433.88,5,0.39,0.49,0,0,1,nelojalan
54171.18,11,0.71,0.3,0,4,0,nelojalan
30162.12,3,0.37,0.99,1,5,3,nelojalan
