@relation testL

@attribute l1 numeric
@attribute lojalnost {nelojalan,bronzana,srebrna,zlatna,dijamantska}

@data
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.228,nelojalan
0.228,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.202,nelojalan
0.624,bronzana
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.494,bronzana
0.228,nelojalan
0.316,nelojalan
0.228,nelojalan
0.202,nelojalan
0.494,bronzana
0.202,nelojalan
0.202,nelojalan
0.228,nelojalan
0.202,nelojalan
0.316,nelojalan
0.316,nelojalan
0.656,bronzana
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.494,bronzana
0.228,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.624,bronzana
0.20600000000000002,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.494,bronzana
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.316,nelojalan
0.228,nelojalan
0.2,nelojalan
0.202,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.624,bronzana
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.494,bronzana
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.494,bronzana
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.316,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.316,nelojalan
0.202,nelojalan
0.316,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.316,nelojalan
0.624,bronzana
0.202,nelojalan
0.316,nelojalan
0.202,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.626,bronzana
0.2,nelojalan
0.626,bronzana
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.656,bronzana
0.316,nelojalan
0.624,bronzana
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.202,nelojalan
0.202,nelojalan
0.228,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.656,bronzana
0.316,nelojalan
0.202,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.656,bronzana
0.2,nelojalan
0.626,bronzana
0.228,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.494,bronzana
0.202,nelojalan
0.202,nelojalan
0.316,nelojalan
0.228,nelojalan
0.2,nelojalan
0.202,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.632,bronzana
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.626,bronzana
0.2,nelojalan
0.494,bronzana
0.494,bronzana
0.316,nelojalan
0.202,nelojalan
0.228,nelojalan
0.316,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.228,nelojalan
0.494,bronzana
0.228,nelojalan
0.494,bronzana
0.2,nelojalan
0.202,nelojalan
0.228,nelojalan
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.494,bronzana
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.202,nelojalan
0.494,bronzana
0.202,nelojalan
0.202,nelojalan
0.494,bronzana
0.202,nelojalan
0.202,nelojalan
0.494,bronzana
0.2,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.228,nelojalan
0.494,bronzana
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.202,nelojalan
0.228,nelojalan
0.228,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.624,bronzana
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.656,bronzana
0.2,nelojalan
0.228,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.202,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.316,nelojalan
0.202,nelojalan
0.494,bronzana
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.228,nelojalan
0.20600000000000002,nelojalan
0.228,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.624,bronzana
0.2,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.228,nelojalan
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.202,nelojalan
0.2,nelojalan
0.494,bronzana
0.316,nelojalan
0.20600000000000002,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.202,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.228,nelojalan
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.2,nelojalan
0.228,nelojalan
0.494,bronzana
0.228,nelojalan
0.494,bronzana
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.316,nelojalan
0.316,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.624,bronzana
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.202,nelojalan
0.494,bronzana
0.2,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.494,bronzana
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.202,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.494,bronzana
0.494,bronzana
0.316,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.494,bronzana
0.228,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.202,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.316,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.228,nelojalan
0.494,bronzana
0.316,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.228,nelojalan
0.316,nelojalan
0.228,nelojalan
0.2,nelojalan
0.202,nelojalan
0.68,bronzana
0.658,bronzana
0.202,nelojalan
0.624,bronzana
0.494,bronzana
0.228,nelojalan
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.316,nelojalan
0.228,nelojalan
0.202,nelojalan
0.494,bronzana
0.624,bronzana
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.228,nelojalan
