@relation treningL

@attribute l1 numeric
@attribute lojalnost {nelojalan,bronzana,srebrna,zlatna,dijamantska}

@data
0.494,bronzana
1.504,dijamantska
0.494,bronzana
0.20600000000000002,nelojalan
0.316,nelojalan
1.2,zlatna
0.624,bronzana
0.202,nelojalan
0.624,bronzana
0.632,bronzana
0.656,bronzana
1.2,zlatna
0.202,nelojalan
0.626,bronzana
0.2,nelojalan
1.172,zlatna
0.316,nelojalan
0.316,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.65,bronzana
0.626,bronzana
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
1.2,zlatna
0.2,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
1.2,zlatna
0.228,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.228,nelojalan
0.656,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.624,bronzana
0.494,bronzana
0.494,bronzana
0.0,nelojalan
0.2,nelojalan
0.68,bronzana
0.656,bronzana
0.624,bronzana
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.494,bronzana
0.316,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.228,nelojalan
0.228,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.652,bronzana
0.316,nelojalan
0.71,bronzana
0.2,nelojalan
0.624,bronzana
0.656,bronzana
0.202,nelojalan
0.626,bronzana
0.202,nelojalan
0.228,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.20600000000000002,nelojalan
0.494,bronzana
0.316,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.494,bronzana
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.228,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.202,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.0,nelojalan
0.202,nelojalan
0.2,nelojalan
0.494,bronzana
0.494,bronzana
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.494,bronzana
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.624,bronzana
0.228,nelojalan
0.20600000000000002,nelojalan
0.202,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.228,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.494,bronzana
0.494,bronzana
0.2,nelojalan
0.20600000000000002,nelojalan
0.924,srebrna
0.202,nelojalan
0.632,bronzana
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.20600000000000002,nelojalan
0.656,bronzana
0.2,nelojalan
0.20600000000000002,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.316,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.228,nelojalan
0.316,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.2,nelojalan
0.316,nelojalan
0.316,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.316,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.316,nelojalan
0.2,nelojalan
0.494,bronzana
0.20600000000000002,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.228,nelojalan
0.316,nelojalan
0.494,bronzana
0.2,nelojalan
0.632,bronzana
0.202,nelojalan
0.202,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.228,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.202,nelojalan
0.202,nelojalan
0.20600000000000002,nelojalan
0.316,nelojalan
0.2,nelojalan
0.202,nelojalan
0.228,nelojalan
0.68,bronzana
0.20600000000000002,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.228,nelojalan
0.228,nelojalan
0.2,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.228,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
0.2,nelojalan
0.20600000000000002,nelojalan
0.2,nelojalan
0.2,nelojalan
0.2,nelojalan
0.494,bronzana
0.228,nelojalan
0.494,bronzana
0.202,nelojalan
0.2,nelojalan
0.202,nelojalan
0.2,nelojalan
